user_id	created_at	transaction_value
1	"2020-01-01 11:21:47"	95
1	"2020-01-02 08:41:57"	85
1	"2020-01-03 09:11:47"	26
1	"2020-01-04 15:23:24"	54
1	"2020-01-05 14:21:11"	65
1	"2020-01-06 11:21:48"	95
1	"2020-01-07 08:41:58"	85
1	"2020-01-08 09:11:48"	25
1	"2020-01-09 15:23:25"	55
1	"2020-01-10 14:21:12"	65
3	"2020-01-01 11:22:48"	95
3	"2020-01-02 08:42:58"	22
3	"2020-01-03 09:12:48"	25
3	"2020-01-04 15:24:25"	13
3	"2020-01-06 14:25:12"	16
3	"2020-01-07 11:24:48"	51
3	"2020-01-08 08:44:58"	85
3	"2020-01-09 09:14:48"	65
3	"2020-01-10 14:26:12"	65
